comments,predicted_sentiment
kan kata dia berkeping klo saya buaguuuuus bgt buat kedepan...ingat....apa yg menurut kt baik blm tentu baik ..begitu sebaliknya...,negative
"Pak jokowi presiden terbaik di indonesia,kinerjanya bagus,tapi mengapa beliau mempertaruhkan harga yg sangat mahal pd citranya untuk menarik putranya duduk disinggasana pemerintahan,apa ini pure dari hati beliau,atau ada sekelompok org dibelakangnya yg mendorong beliau? Ah bingung deh,semoga yg terpilih adalah yg terbaik menurut rakyat dan Tuhan",positive
ko bawa saja palu palu lima kilo Cari batu di gunung,negative
"Hukum SDH di injak2 oleh orang yg seharusnya menjaga,hancur masa depan bangsa Krn keluarga ini.",negative
Mudah² an dengan putuskan MK ini ....tidak rekayasa juga...soalnya peristiwa yg sama pula waktu sidang MK pilpres 2019....disangka MK dewa penolong tadinya ..ternyata cuma scenario.....endingnya...cape deh.....bener kata bang RG rejim harus dibiarkan dengan sendirinya tanpa harus dihalang² i....nanti sendirinya akan busuk sendiri......mudah ² an Allah SWT. Memberikan hidayah terhadap orang ² yg berniat menzholimi NKRI. Semoga para cendikiawan di NKRI ini selalu di beri umur panjang ....dan berjuang membela bangsanya dengan tanpa pamrih ....atas dasar niatan ridho lilahitaala....demi kemakmuran NKRI. Aminnnnnnn ya allah,positive
Seperti kisah boruto,positive
Peesiden sekarang sama dengan idi amin dulu persiden uganda,positive
Ah kata siapa yg ribut kan pembenci dan pemuja...kl saya petani didesa lagi bahagia harga padi dan jagung mahal lumayan untung besar...dan bisa menambah stok pangan kita...,positive
Putusan  dinasti ming ming mk mk makan makan,positive
"Terkadang penguasa satmennya...jauh dari kenyataan, istilah pemiku hrus damai pemilu hrus jujur mengedepnkanbpokitik santun..al hasil jauh dri ekpetsinya dilapangan dn anehnya dia sendiri yg bikin situasi gaduh.....dn palu hakim mk nya sdh lama ga d ganti jdi patah dn bukan retak lagi.",positive
"Palunya hakim tidk bisa untk mengetok karna rusak patah mematah di karnakan tangannya hakim terlalu kuat seperti kerasnya besi, smg di tahun 2024 ganti palu baru yg akan menggantinya GAMA.",negative
MALAIKAT MALIK ITU YG MERUBAH ( TEMANNYA SETAN),negative
ketika palu hakim diganti ulekan ketoptrak...,negative
Yg namanya berkuasa itu bebas ....,negative
"GANJAR - MAHFUD MD(GAMA) Ganjar-mahfud Terdepan -Terpengalaman -Terjujur atas kekurangan -Transparansi -Punya etika politik -Mau tau masalah"" dan mau turun kebawah -Terbuka Kepada rakyat PENGALAMAN LENGKAP(TRIAS POLITIKA) -LEGISLATIF(DPR) -EKSEKUTIF(Gubernur) -YUDIKATIF (Ketua MK) PRINSIP PEMERINTAHAN * KEBERLANJUTAN * PERUBAHAN *Mengkoreksi kebijakan yang madek *Jujur atas kekurangan *INOVASI (Sekolah khusus org miskin) *PENGEMBANGAN utj lebih maju *Penegakan Hukum Pejamkan mata. ,biarkan orang lain bicara apa,tetap tenang Tanya hati nurani kita *COBLOS GANJAR-MAHFUD MD. di TPS..",negative
"Maaf,diakhir pemerinthn pak jokowi Demokrasix setengah hati.",positive
"ngono yo ngono, ning ojo ngono pak lurah",positive
Seharusnya kekuasaan yudikatif seperti MK dalam membuat keputusan harus independen tanpa ada campur tangan dari kekuasaan lain seperti eksekutif dan legislatif. Apabila keputusan MK ada campur tangan dari presiden berarti MK sudah keluar dari fungsi idealnya sebagai lembaga yudikatif,negative
"Penemuan hukum itu didpt dari putusan2 hakim. Barangkali kali ini putusan MKMK bisa terjadi membatalkan pencawapresan Gibran,  dgn segala alasannya. Dan kalau ini terjadi maka kelak terkait dgn perkara2 konstitusi yg sensitif utk Negara tdk adalagi putusan2 MK yg nyelenih, krn jurisprudensinya sdh ada dpt dibatalkan.",negative
RAJA FIRAUN,negative
"Apakah ini berarti mengamini politik dinasti dengan catatan calon yang diajukan memang terbukti dari segi kapasitas, integritas, dan penerimaan dalam ruang yang cukup? tapi memang ketakutan dinasti politik adalah kebijakan yang menyasar kelompok tertentu.",negative
"Luar biasa rancangan yg sdh direncanakan keluarga Jokowi ini...bapak, anak-anak, mantu, ipar dikerahkan utk kepentingan nya menguasai negeri ini demi keluarganya, sangat tidak beretika, bobroknya negara ini di tangan jokowi. kalo mau bangsa ini selamat pilih Ganjar Mahfud yang sudah ketahuan kerjanya.",negative
Inilah Politik masang berburu domba pak Jokowi....,negative
"PARA HAKIM-HAKIM AGUNG ITU KAN SUDAH DISUMPAH UNTUK MENJALANKAN HUKUM SEJUJUR JUJUR DAN SEADIL-ADILNYA....SIAPA YANG MENGINGINKAN, PERINTAHKAN SUPAYA HASILNYA SEPERTI ITU....",positive
Tuhan tidak tidur..tangan Tuhan akan membuka kebenaran yg sesungguhnya. Narasi atau realita.,positive
Pertanyaan tambahan : apakah keriuhan pro dan kontra putusan MK akan seperti saat ini seandainya Gibran hanya ikut pilkada gubernur ..bukan sebagai cawapres. Dan apakah politik dinasti akan mencuat dan disematkan kepada Bpk Jokowi seandainya Gibran hanya ikut pilkada gubernur..???,positive
Pertanyaannya : alasan apa yg mendasari kenapa capres atau cawapres harus berusia 40 th ..?? Menurut saya alasan itulah yg membuat tambahan pilihan putusan pernah atau sedang menjabat kepala daerah.,negative
Jadi ingat pilkada DKI dulu. Anak sby dipaksakan jdi cagub dki melawan anis dan ahok.akhirnya harus kalah.  Apakah pilpres akan demikian juga ? Kita nantikan saja 14 feb.,positive
PERMOHONAN ALMAS TSAQIBIRU TIDAK DITANDA TANGANI.... sekarang kunci ada di MKMK... BERANI BATALKAN NGGA,negative
"pak joko wi skarang bluder besar karna sayang anak, gak tau apa yg ngerasukin pak joko wi kok membiarkan smua terjadi...sayang banget padahan kinerja nya bagus banget karna gak sabar nya gibran ikut proses...",negative
"jadi cawapres aturan hukum ditabraknya semua, gitu mau jadi cawapres terpilih, gak bahaya ta?",negative
Pak jokowi sedang bermain catur ,positive
jika ketua Mk.kena.sanksi tetapi gibran.tdk.mundur sbg cawapres dan walikota solo.serta jokowi tdk menarik gibran sbg cawapres dan.walikota.solo berarti.keduanya sdh.tdk.bermoral.,negative
"Saya suka pak Jokowi, tapi dengan merusak dan ikut campur di MK saya sedih dengan Pak jokowi",negative
